epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8995,1.44253,2.7956,1.79781,0.005,0.9375,0.25831,0.13114,1.5016,3.15371,2.06945,0.00012,0.00012,0.00012
2,28.619,1.16045,2.57008,1.58883,0.005,0.9375,0.40511,0.18168,1.5808,3.23728,2.16906,0.000254852,0.000254852,0.000254852
3,42.3217,1.12215,2.43266,1.53406,0.00533,1,0.4556,0.2546,1.44305,3.12316,2.05117,0.00038416,0.00038416,0.00038416
4,55.7217,1.18879,2.25063,1.63297,0.00533,1,0.32105,0.12856,1.46838,3.18033,2.18483,0.000507924,0.000507924,0.000507924
5,69.1795,1.16796,2.08763,1.58631,0.00533,1,0.3843,0.14796,1.79,3.15807,2.84923,0.000626144,0.000626144,0.000626144
6,82.4763,1.22848,2.0237,1.68418,0.74785,0.375,0.44001,0.12763,1.97465,3.06457,3.17067,0.00073882,0.00073882,0.00073882
7,97.1586,1.15547,1.872,1.58455,0.78649,0.5,0.57326,0.17319,1.95375,3.02348,3.04456,0.000845952,0.000845952,0.000845952
8,110.584,1.11713,1.70765,1.55646,0.50969,0.39075,0.52294,0.23978,1.71543,2.8238,2.77628,0.00094754,0.00094754,0.00094754
9,123.809,1.24442,1.81321,1.66134,0.3776,0.45567,0.35089,0.16785,1.81593,2.78973,3.15714,0.00104358,0.00104358,0.00104358
10,137.088,1.20208,1.76117,1.63163,0.82955,0.30541,0.45992,0.19262,1.99567,2.91104,3.22841,0.00113408,0.00113408,0.00113408
11,150.564,1.3003,1.91785,1.76356,0.4498,0.25,0.23096,0.06113,2.89196,3.4131,4.01345,0.00121904,0.00121904,0.00121904
12,163.974,1.17772,1.71524,1.59045,0.45754,0.1875,0.16541,0.05479,2.64002,3.38752,3.44617,0.00129845,0.00129845,0.00129845
13,177.137,1.36563,1.77403,1.78591,0.38833,0.25,0.24607,0.06952,2.72629,3.44312,3.67552,0.00137232,0.00137232,0.00137232
14,190.197,1.44993,1.90969,1.82333,0.38833,0.25,0.24607,0.06952,2.72629,3.44312,3.67552,0.00144064,0.00144064,0.00144064
15,203.284,1.25579,1.72052,1.65261,0.30776,0.5,0.34718,0.11376,2.64132,3.20727,3.50211,0.0014456,0.0014456,0.0014456
16,216.64,1.23608,1.67202,1.62587,0.33295,0.5,0.35051,0.11883,2.23325,3.52102,3.10534,0.001406,0.001406,0.001406
17,229.931,1.20004,1.61349,1.64543,0.62381,0.25,0.3162,0.10799,2.05745,3.67308,2.87274,0.0013664,0.0013664,0.0013664
18,242.947,1.229,1.69451,1.6879,0.33765,0.6875,0.46397,0.20025,1.86134,3.63263,2.62223,0.0013268,0.0013268,0.0013268
19,256.087,1.16616,1.67036,1.61663,0.71604,0.47427,0.50108,0.11979,2.16793,3.9716,2.78047,0.0012872,0.0012872,0.0012872
20,269.297,1.25844,1.75267,1.58947,0.57896,0.4375,0.34847,0.08962,2.48989,4.51027,3.24763,0.0012476,0.0012476,0.0012476
21,282.584,1.27622,1.72676,1.65941,0.33079,0.3125,0.30848,0.08531,2.65911,4.58269,3.42293,0.001208,0.001208,0.001208
22,296.057,1.27102,1.67466,1.66698,0.33079,0.3125,0.30848,0.08531,2.65911,4.58269,3.42293,0.0011684,0.0011684,0.0011684
23,309.27,1.18339,1.63314,1.63987,0.45016,0.625,0.45934,0.16402,2.40178,3.23947,3.26771,0.0011288,0.0011288,0.0011288
24,322.31,1.29609,1.69492,1.70717,0.87213,0.5,0.68329,0.29656,2.0436,2.7495,2.81345,0.0010892,0.0010892,0.0010892
25,335.51,1.06364,1.49358,1.53101,0.92298,0.625,0.75848,0.29787,2.06199,2.285,2.85419,0.0010496,0.0010496,0.0010496
26,348.754,1.12845,1.5183,1.59855,0.78391,0.68064,0.75435,0.28028,2.00142,2.1884,2.74573,0.00101,0.00101,0.00101
27,362.016,1.11383,1.45799,1.51762,0.64646,0.6875,0.69467,0.26093,2.07959,2.19331,2.75813,0.0009704,0.0009704,0.0009704
28,375.465,1.27166,1.64029,1.69061,0.85846,0.5625,0.68019,0.29024,1.98733,2.05652,2.69742,0.0009308,0.0009308,0.0009308
29,388.579,1.13354,1.41497,1.49951,0.77926,0.5625,0.59728,0.26608,2.01408,2.33141,2.82912,0.0008912,0.0008912,0.0008912
